title;author;rating;description;language;genres;bookFormat;pages
Dark Flame;Alyson Noel (Goodreads Author);3.73;In Alyson Noël’s most darkly seductive Immortals novel yet, Ever fights for control of her body, her soul—and the timeless true love she’s been chasing for centuries.Ever is trying to help Haven make the transition into life as an immortal. But with Haven drunk on her new powers and acting recklessly, she poses the ultimate threat—exposing their secret world to the outside. But Ever's struggle to keep the Immortals hidden only propels Haven closer to the enemy: Roman and his evil companions.At the same time, Ever delves deeper into dark magick to free Damen from Roman’s power. But when her spell backfires, it binds her to the one guy who’s hell-bent on her destruction. Now there’s a strange, foreign pulse coursing through her, and no matter what she does, she can’t stop thinking about Roman—and longing for his touch. As she struggles to resist the fiery attraction threatening to consume her, Roman is more than willing to take advantage of her weakened state... and Ever edges closer and closer to surrender.Frantic to break the spell before its too late, Ever turns to Jude for help, risking everything she knows and loves to save herself—and her future with Damen....;English;['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Supernatural', 'Paranormal Romance', 'Fiction', 'Magic', 'Urban Fantasy', 'Vampires'];Hardcover;320
Good Night, Mr. Tom;Michelle Magorian;4.3;London is poised on the brink of World War II. Timid, scrawny Willie Beech -- the abused child of a single mother -- is evacuated to the English countryside. At first, he is terrified of everything, of the country sounds and sights, even of Mr. Tom, the gruff, kindly old man who has taken him in. But gradually Willie forgets the hate and despair of his past. He learns to love a world he never knew existed, a world of friendship and affection in which harsh words and daily beatings have no place. Then a telegram comes. Willie must return to his mother in London. When weeks pass by with no word from Willie, Mr. Tom sets out for London to look for the young boy he has come to love as a son.;English;['Historical Fiction', 'Fiction', 'Classics', 'Childrens', 'Young Adult', 'Historical', 'War', 'World War II', 'School', 'Novels'];Paperback;320
The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury;Bill Watterson;4.74;A collection of Calvin and Hobbes cartoons. The author won the 1986 Reuben Award as Outstanding Cartoonist of the Year and has also illustrated Something Under the Bed is Drooling, Calvin and Hobbes' Yukon Ho! and Weirdos From Another Planet.;English;['Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Graphic Novels Comics', 'Childrens', 'Comic Strips', 'Comedy', 'Comic Book', 'Classics'];Paperback;254
The Diviners;Libba Bray (Goodreads Author);3.95;15 parts 18 hours 14 minutesSOMETHING DARK AND EVIL HAS AWAKENED… Evie O’Neill has been exiled from her boring old hometown and shipped off to the bustling streets of New York City—and she is pos-i-tute-ly ecstatic. It’s 1926, and New York is filled with speakeasies, Ziegfeld girls, and rakish pickpockets. The only catch is that she has to live with her uncle Will and his unhealthy obsession with the occult. Evie worries her uncle will discover her darkest secret: a supernatural power that has only brought her trouble so far. But when the police find a murdered girl branded with a cryptic symbol and Will is called to the scene, Evie realizes her gift could help catch a serial killer. As Evie jumps headlong into a dance with a murderer, other stories unfold in the city that never sleeps. A young man named Memphis is caught between two worlds. A chorus girl named Theta is running from her past. A student named Jericho is hiding a shocking secret. And unknown to all, something dark and evil has awakened…Includes an Introduction Read by Libba Bray;English;['Fantasy', 'Young Adult', 'Historical Fiction', 'Paranormal', 'Mystery', 'Historical', 'Horror', 'Fiction', 'Audiobook', 'Supernatural'];Hardcover;578
Haroun and the Sea of Stories;Salman Rushdie, Paul Birkbeck (Illustrator);4.01;Alternate cover for this ISBN can be found hereDiscover Haroun and the Sea of Stories, Salman Rushdie’s classic fantasy novel  Set in an exotic Eastern landscape peopled by magicians and fantastic talking animals, Salman Rushdie's classic children's novel Haroun and the Sea of Stories inhabits the same imaginative space as The Lord of the Rings, The Alchemist, and The Wizard of Oz. In this captivating work of fantasy from the author of Midnight’s Children and The Enchantress of Florence, Haroun sets out on an adventure to restore the poisoned source of the sea of stories. On the way, he encounters many foes, all intent on draining the sea of all its storytelling powers.  ;English;['Fantasy', 'Fiction', 'Young Adult', 'Magical Realism', 'Childrens', 'India', 'Literature', 'Novels', 'Classics', 'Adventure'];Hardcover;224
The Call of the Wild, White Fang and Other Stories;Jack London;4.01;Of all Jack London's fictions none has been as popular as his dog stories. In addition to The Call of the Wild, the epic tale of a Californian dog's adventures during the Klondike gold rush, this edition includes White Fang, and five famous short stories - B tard, Moon-Face, Brown Wolf, That Spot, and To Build a Fire.;English;['Classics', 'Fiction', 'Literature', 'Short Stories', 'Adventure', 'Animals', 'Young Adult', 'American', 'Childrens', '20th Century'];Paperback;400
Nightfall;L.J. Smith (Goodreads Author);3.57;To save the two vampire brothers who love her, Elena Gilbert sacrificed her life.Now that a supernatural force has brought Elena back from the dead, all handsome, brooding Stefan wants is to keep her safe. But when he is lured away from Fell's Church, sleek, powerful Damon seizes his chance to win Elena over, unaware of the danger they're both in. A malevolent being has infiltrated the town and is growing stronger. Able to possess Damon at will, the creature is also drawn to Elena and the new power she has acquired. But it's after more than Elena's power: It thirsts for her death.Elena's story continues in shadow souls!;English;['Vampires', 'Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Supernatural', 'Paranormal Romance', 'Fiction', 'Urban Fantasy', 'Magic'];Hardcover;586
Thud!;Terry Pratchett;4.33;Koom Valley? That was where the trolls ambushed the dwarfs, or the dwarfs ambushed the trolls. It was far away. It was a long time ago.But if he doesn't solve the murder of just one dwarf, Commander Sam Vimes of Ankh-Morpork City Watch is going to see it fought again, right outside his office.With his beloved Watch crumbling around him and war-drums sounding, he must unravel every clue, outwit every assassin and brave any darkness to find the solution. And darkness is following him.Oh . . . and at six o'clock every day, without fail, with no excuses, he must go home to read 'Where's My Cow?', with all the right farmyard noises, to his little boy.There are some things you have to do.;English;['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Mystery', 'Comic Fantasy', 'Science Fiction', 'British Literature'];Paperback;439
The Lottery and Other Stories;Shirley Jackson;4.06;"The Lottery, one of the most terrifying stories written in this century, created a sensation when it was first published in The New Yorker. ""Power and haunting,"" and ""nights of unrest"" were typical reader responses. This collection, the only one to appear during Shirley Jackson's lifetime, unites ""The Lottery:"" with twenty-four equally unusual stories. Together they demonstrate Jackson's remarkable range--from the hilarious to the truly horrible--and power as a storyteller.";English;['Short Stories', 'Fiction', 'Horror', 'Classics', 'Literature', 'Gothic', 'American', 'Audiobook', 'Anthologies', '20th Century'];Paperback;302
The Light Fantastic;Terry Pratchett;3.97;In The Light Fantastic only one individual can save the world from a disastrous collision. Unfortunately, the hero happens to be the singularly inept wizard Rincewind, who was last seen falling off the edge of the world...;English;['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Magic', 'Adventure', 'Science Fiction', 'Audiobook', 'Novels'];Mass Market Paperback;277
The Sense of an Ending;Julian Barnes;3.73;By an acclaimed writer at the height of his powers, The Sense of an Ending extends a streak of extraordinary books that began with the best-selling Arthur & George and continued with Nothing to Be Frightened Of and, most recently, Pulse.  This intense novel follows a middle-aged man as he contends with a past he has never much thought about - until his closest childhood friends return with a vengeance, one of them from the grave, another maddeningly present. Tony Webster thought he'd left all this behind as he built a life for himself, and by now his marriage and family and career have fallen into an amicable divorce and retirement. But he is then presented with a mysterious legacy that obliges him to reconsider a variety of things he thought he'd understood all along, and to revise his estimation of his own nature and place in the world. A novel so compelling that it begs to be read in a single sitting, with stunning psychological and emotional depth and sophistication, The Sense of an Ending is a brilliant new chapter in Julian Barnes's oeuvre.;English;['Fiction', 'Contemporary', 'Literary Fiction', 'Literature', 'Novels', 'British Literature', 'Book Club', 'Adult Fiction', 'Audiobook', 'Mystery'];Hardcover;150
Moon Palace;Paul Auster;3.95;Marco Stanley Fogg is an orphan, a child of the sixties, a quester tirelessly seeking the key to his past, the answers to the ultimate riddle of his fate. As Marco sets out on a journey from the canyons of Manhattan to the deserts of Utah, he encounters a gallery of characters and a series of events as rich and surprising as any in modern fiction.Beginning during the summer that men first walked on the moon, and moving backward and forward in time to span three generations, Moon Palace is propelled by coincidence and memory, and illuminated by marvelous flights of lyricism and wit. Here is the most entertaining and moving novel yet from an author well known for his breathtaking imagination.;English;['Fiction', 'American', 'Contemporary', 'Novels', 'Literature', 'The United States Of America', 'Classics', '20th Century', 'Drama', 'Roman'];Paperback;320
O Pioneers!;Willa Cather;3.87;O Pioneers! (1913) was Willa Cather's first great novel, and to many it remains her unchallenged masterpiece. No other work of fiction so faithfully conveys both the sharp physical realities and the mythic sweep of the transformation of the American frontier—and the transformation of the people who settled it. Cather's heroine is Alexandra Bergson, who arrives on the wind-blasted prairie of Hanover, Nebraska, as a girl and grows up to make it a prosperous farm. But this archetypal success story is darkened by loss, and Alexandra's devotion to the land may come at the cost of love itself.At once a sophisticated pastoral and a prototype for later feminist novels, O Pioneers! is a work in which triumph is inextricably enmeshed with tragedy, a story of people who do not claim a land so much as they submit to it and, in the process, become greater than they were.;English;['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'American', 'Historical', 'Novels', 'Westerns', '20th Century', 'Classic Literature'];Paperback;159
Opposition;Jennifer L. Armentrout (Goodreads Author);4.38;Katy knows the world changed the night the Luxen came.She can't believe Daemon welcomed his race or stood by as his kind threatened to obliterate every last human and hybrid on Earth. But the lines between good and bad have blurred, and love has become an emotion that could destroy her—could destroy them all.Daemon will do anything to save those he loves, even if it means betrayal.They must team with an unlikely enemy if there is any chance of surviving the invasion. But when it quickly becomes impossible to tell friend from foe, and the world is crumbling around them, they may lose everything— even what they cherish most—to ensure the survival of their friends…and mankind.War has come to Earth. And no matter the outcome, the future will never be the same for those left standing.This edition includes SHADOWS, a Lux Prequel Novella;English;['Young Adult', 'Paranormal', 'Romance', 'Fantasy', 'Aliens', 'Science Fiction', 'Paranormal Romance', 'Supernatural', 'Urban Fantasy', 'New Adult'];Paperback;533
A Storm of Swords: Steel and Snow;George R.R. Martin;4.45;Winter approaches Westeros like an angry beast.The Seven Kingdoms are divided by revolt and blood feud. In the northern wastes, a horde of hungry, savage people steeped in the dark magic of the wilderness is poised to invade the Kingdom of the North where Robb Stark wears his new-forged crown. And Robb's defences are ranged against the South, the land of the cunning and cruel Lannisters, who have his young sisters in their power.Throughout Westeros, the war for the Iron Throne rages more fiercely than ever, but if the wall is breached, no king will live to claim it.;English;['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Adult', 'Dragons', 'Adventure', 'Science Fiction Fantasy', 'War', 'Epic'];Paperback;663
Moloka'i;Alan Brennert (Goodreads Author);4.17;Set in Hawai'i more than a century ago, this is the story of Rachel Kalama, a spirited seven-year-old Hawaiian girl, who dreams of visiting far-off lands like her father, a merchant seaman. Then one day a rose-colored mark appears on her skin, and those dreams are stolen from her. Taken from her home and family, Rachel is sent to Kalaupapa, the quarantined leprosy settlement on the island of Moloka'i. Here her life is supposed to end---but instead she discovers it is only just beginning.;English;['Historical Fiction', 'Fiction', 'Historical', 'Book Club', 'Adult', 'Adult Fiction', 'Audiobook', 'Coming Of Age', 'Novels', 'Cultural'];Paperback;405
Chain Reaction;Simone Elkeles (Goodreads Author);4.1;Luis Fuentes is a good boy who doesn't live with the angst that his big brothers, Alex and Carlos, have always lived with. Luis is smart, funny, and has big dreams of becoming an astronaut. But when he falls for the wrong girl, Luis enters a dark world he's never known, and just when he thinks he's got life all figured out, learns some disturbing news about his family that destroys his positive outlook on life. Will that Fuentes bad boy streak come out with a vengeance and lure Luis to live on the edge like his new girlfriend and his own father?Continuing all the steamy romance of the first two books, NY Times and USA Today bestselling author Simone Elkeles gives fans one more satisfying taste of the irresistible Fuentes boys.;English;['Romance', 'Young Adult', 'Contemporary', 'Realistic Fiction', 'High School', 'Contemporary Romance', 'Chick Lit', 'New Adult', 'Young Adult Romance', 'Fiction'];Hardcover;319
The Golem's Eye;Jonathan Stroud (Goodreads Author);4.09;At only fourteen, Nathaniel is a rising star: a young magician who is quickly climbing the ranks of the government. There is seemingly nothing he cannot handle, until he is asked to deal with the growing Resistance movement, which is disrupting London life with its thefts and raids. It’s no easy task: the ringleader Kitty and her friends remain elusive, and Nathaniel’s job-and perhaps his life-are soon at risk. As the pressure mounts, he is distracted by a new series of terrifying attacks in the capital. But is it the Resistance again, or something more dangerous still? To uncover the perpetrators, Nathanial must take desperate measures: a journey to the enemy city of Prague and-worse-summoning once again the troublesome, enigmatic, and quick – witted djinni Bartimaeus. A thrilling sequel to the best-selling Amulet of Samarkand, The Golem’s Eye is a roller-coaster ride of magic, adventure, and political skullduggery, in which the fates of Nathaniel, Bartimaeus, and Kitty explosively collide.;English;['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Adventure', 'Urban Fantasy', 'Middle Grade', 'Childrens', 'Young Adult Fantasy', 'Audiobook'];Paperback;562
Let the Great World Spin;Colum McCann (Goodreads Author);3.94;In the dawning light of a late-summer morning, the people of lower Manhattan stand hushed, staring up in disbelief at the Twin Towers. It is August 1974, and a mysterious tightrope walker is running, dancing, leaping between the towers, suspended a quarter mile above the ground. In the streets below, a slew of ordinary lives become extraordinary in bestselling novelist Colum McCann’s stunningly intricate portrait of a city and its people.Let the Great World Spin is the critically acclaimed author’s most ambitious novel yet: a dazzlingly rich vision of the pain, loveliness, mystery, and promise of New York City in the 1970s.Corrigan, a radical young Irish monk, struggles with his own demons as he lives among the prostitutes in the middle of the burning Bronx. A group of mothers gather in a Park Avenue apartment to mourn their sons who died in Vietnam, only to discover just how much divides them even in grief. A young artist finds herself at the scene of a hit-and-run that sends her own life careening sideways. Tillie, a thirty-eight-year-old grandmother, turns tricks alongside her teenage daughter, determined not only to take care of her family but to prove her own worth.Elegantly weaving together these and other seemingly disparate lives, McCann’s powerful allegory comes alive in the unforgettable voices of the city’s people, unexpectedly drawn together by hope, beauty, and the “artistic crime of the century.” A sweeping and radical social novel, Let the Great World Spin captures the spirit of America in a time of transition, extraordinary promise, and, in hindsight, heartbreaking innocence. Hailed as a “fiercely original talent” (San Francisco Chronicle), award-winning novelist McCann has delivered a triumphantly American masterpiece that awakens in us a sense of what the novel can achieve, confront, and even heal.;English;['Fiction', 'Historical Fiction', 'New York', 'Book Club', 'Novels', 'Contemporary', 'Literary Fiction', 'Literature', 'Historical', 'Adult Fiction'];Hardcover;351
Common Sense;Thomas Paine;3.98;Throughout history, some books have changed the world. They have transformed the way we see ourselves—and each other. They have inspired debate, dissent, war and revolution. They have enlightened, outraged, provoked and comforted. They have enriched lives—and destroyed them.Published anonymously in 1776, six months before the Declaration of Independence, Thomas Paine’s Common Sense was a radical and impassioned call for America to free itself from British rule and set up an independent republican government. Savagely attacking hereditary kingship and aristocratic institutions, Paine urged a new beginning for his adopted country in which personal freedom and social equality would be upheld and economic and cultural progress encouraged.  His pamphlet was the first to speak directly to a mass audience—it went through fifty-six editions within a year of publication—and its assertive and often caustic style both embodied the democratic spirit he advocated, and converted thousands of citizens to the cause of American independence.;English;['History', 'Nonfiction', 'Classics', 'Philosophy', 'Politics', 'American History', 'Historical', 'Essays', 'Political Science', 'American Revolution'];Paperback;104
The End of Eternity;Isaac Asimov;4.24;Andrew Harlan is an Eternal, a man whose job it is to range through past and present Centuries, monitoring and, where necessary, altering Time's myriad cause-and-effect relationships. But when Harlan meets and falls for a non-Eternal woman, he seeks to use the awesome powers and techniques of the Eternals to twist time for his own purposes, so that he and his love can survive together.;English;['Science Fiction', 'Fiction', 'Time Travel', 'Classics', 'Science Fiction Fantasy', 'Audiobook', 'Novels', 'Fantasy', 'Dystopia', 'Speculative Fiction'];Mass Market Paperback;192
The Vampire Armand;Anne Rice;3.77;In the latest installment of The Vampire Chronicles, Anne Rice summons up dazzling worlds to bring us the story of Armand - eternally young, with the face of a Botticelli angel. Armand, who first appeared in all his dark glory more than twenty years ago in the now-classic Interview with the Vampire, the first of The Vampire Chronicles, the novel that established its author worldwide as a magnificent storyteller and creator of magical realms.Now, we go with Armand across the centuries to the Kiev Rus of his boyhood - a ruined city under Mongol dominion - and to ancient Constantinople, where Tartar raiders sell him into slavery. And in a magnificent palazzo in the Venice of the Renaissance we see him emotionally and intellectually in thrall to the great vampire Marius, who masquerades among humankind as a mysterious, reclusive painter and who will bestow upon Armand the gift of vampiric blood. As the novel races to its climax, moving through scenes of luxury and elegance, of ambush, fire, and devil worship to nineteenth-century Paris and today's New Orleans, we see its eternally vulnerable and romantic hero forced to choose between his twilight immortality and the salvation of his immortal soul.;English;['Horror', 'Vampires', 'Fantasy', 'Fiction', 'Paranormal', 'Supernatural', 'Urban Fantasy', 'Gothic', 'Historical Fiction', 'Adult'];Mass Market Paperback;457
Drum Beats, Heart Beats (Dancing Soul Trilogy, #3);Maria Nhambu (Goodreads Author);4.3;In this final volume of The Dancing Soul Trilogy, we join an ever insightful and passionate Nhambu as she traverses diverse cultures and continents and negotiates a complex and shifting web of mixed identities—African immigrant and African American—through marriage, parenthood, and the search for the father she has never known. Through trauma and triumph, love and betrayal, the “Drum Beats” and “Heart Beats” of her native Africa lead her on an ultimate journey of transcendence that will enthrall and inspire readers around the world.;English;['Contemporary', 'Epic', 'Fiction', 'Drama', 'Novels'];Kindle Edition;500
Black Boy;Richard Wright, Jerry W. Ward Jr. (Introduction);4.07;Black Boy is a classic of American autobiography, a subtly crafted narrative of Richard Wright's journey from innocence to experience in the Jim Crow South. An enduring story of one young man's coming of age during a particular time and place, Black Boy remains a seminal text in our history about what it means to be a man, black, and Southern in America.;English;['Classics', 'Nonfiction', 'Memoir', 'Biography', 'African American', 'Race', 'Autobiography', 'History', 'School', 'Literature'];Paperback;419
Pure;Jennifer L. Armentrout (Goodreads Author);4.31;"There is need. And then there is Fate... Being destined to become some kind of supernatural electrical outlet isn’t exactly awesome—especially when Alexandria’s ""other half"" is everywhere she goes. Seth’s in her training room, outside her classes, and keeps showing up in her bedroom—so not cool. Their connection does have some benefits, like staving off her nightmares of the tragic showdown with her mother, but it has no effect on what Alex feels for the forbidden, pure-blooded Aiden. Or what he will do—and sacrifice—for her. When daimons infiltrate the Covenants and attack students, the gods send furies—lesser gods determined to eradicate any threat to the Covenants and to the gods, and that includes the Apollyon... and Alex. And if that and hordes of aether-sucking monsters didn’t blow bad enough, a mysterious threat seems willing to do anything to neutralize Seth, even if that means forcing Alex into servitude... or killing her. When the gods are involved, some decisions can never, ever be undone";English;['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Mythology', 'Paranormal Romance', 'Urban Fantasy', 'Supernatural', 'Greek Mythology', 'Magic'];Paperback;329
Brownout - 666: or the Real Meaning of the Swastika;John Richard Spencer (Goodreads Author);4.38;In the land of flaunted sex, money, and flexible rules, an ambitious but lonely Rick Daly faces his demons. Rick Daly has established a business in the exotic surroundings of the Philippines, while simultaneously discovering Marilyn Delgado, the woman of his dreams. However, a clash of cultures and his own naiveté lead to disaster. Falsely accused of a sexual crime, Rick loses both his freedom and his business. To add insult to injury, a prison escape merely amounts to switching jails. In a world where the rich prosper, honest individuals are forced to the wall, and a cynical disregard for all but the dollar is destroying society from within, crime soon follows punishment for Rick. Close to losing his soul, will Rick's ultimate success in drug and arms dealing finally lead him to face up to reality? Difficult to put down and including erotic scenes, this is a high octane adventure, which will take the reader into a sea of cultural and ethical flashpoints, while exposing huge cracks in the world’s political and social order.      ;;['Contemporary', 'Novels', 'Fiction', 'Drama', 'Book Club', 'Epic', 'Adult', 'Crime'];Kindle Edition;605
Dance with the Devil;Sherrilyn Kenyon (Goodreads Author);4.38;Zarek’s Point of View:Dark-Hunter: A soulless guardian who stands between mankind and those who would see mankind destroyed. Yeah, right. The only part of that Code of Honor I got was eternity and solitude.Insanity: A condition many say I suffer from after being alone for so long. But I don’t suffer from my insanity-I enjoy every minute of it.Trust: I can’t trust anyone…not even myself. The only thing I trust in is my ability to do the wrong thing in any situation and to put a hurt on anyone who gets in my way.Truth: I endured a lifetime as a Roman slave, and 900 years as an exiled Dark-Hunter. Now I’m tired of enduring. I want the truth about what happened the night I was exiled-I have nothing to lose and everything to gain.Astrid (Greek, meaning star): An exceptional woman who can see straight to the truth. Brave and strong, she is a point of light in the darkness. She touches me and I tremble. She smiles and my cold heart shatters.Zarek: They say even the most damned man can be forgiven. I never believed that until the night Astrid opened her door to me and made this feral beast want to be human again. Made me want to love and be loved. But how can an ex-slave whose soul is owned by a Greek goddess ever dream of touching, let alone holding, a fiery star?;English;['Paranormal Romance', 'Paranormal', 'Romance', 'Fantasy', 'Vampires', 'Urban Fantasy', 'Adult', 'Mythology', 'Supernatural', 'Fiction'];Mass Market Paperback;343
In Search of Lost Time;Marcel Proust, C.K. Scott Moncrieff (Translator), Andreas Mayor (Translator), Terence Kilmartin (Translator), D.J. Enright (Translator), Richard Howard (Introduction);4.35;For this complete, authoritative English-language edition, D. J. Enright has revised the late Terence Kilmartin's acclaimed reworking of C. K. Scott Moncrieff's translation to take into account the new definitive French editions of 'À la recherche du temps perdu' (the final volume of these new editions was published by the Bibliothèque de la Pléiade in 1989).;English;['Fiction', 'Classics', 'France', 'Literature', 'French Literature', 'Philosophy', 'Novels', '20th Century', 'Classic Literature', 'Literary Fiction'];Paperback;4211
Galápagos;Kurt Vonnegut Jr.;3.87;Galápagos takes the reader back one million years, to A.D. 1986. A simple vacation cruise suddenly becomes an evolutionary journey. Thanks to an apocalypse, a small group of survivors stranded on the Galápagos Islands are about to become the progenitors of a brave, new, and totally different human race. In this inimitable novel, America’s master satirist looks at our world and shows us all that is sadly, madly awry—and all that is worth saving.;English;['Fiction', 'Science Fiction', 'Classics', 'Humor', 'Literature', 'Novels', 'American', 'Fantasy', 'Dystopia', 'Post Apocalyptic'];Paperback;324
The Kiss of Deception;Mary E. Pearson (Goodreads Author);3.99;In a society steeped in tradition, Princess Lia’s life follows a preordained course. As First Daughter, she is expected to have the revered gift of sight—but she doesn’t—and she knows her parents are perpetrating a sham when they arrange her marriage to secure an alliance with a neighboring kingdom—to a prince she has never met.On the morning of her wedding, Lia flees to a distant village. She settles into a new life, hopeful when two mysterious and handsome strangers arrive—and unaware that one is the jilted prince and the other an assassin sent to kill her. Deception abounds, and Lia finds herself on the brink of unlocking perilous secrets—even as she finds herself falling in love. The Kiss of Deception is the first audiobook in Mary E. Pearson's Remnant Chronicles;English;['Fantasy', 'Young Adult', 'Romance', 'Young Adult Fantasy', 'Fiction', 'High Fantasy', 'Magic', 'Adventure', 'Audiobook', 'Dystopia'];Kindle Edition;492
The Guardian of Secrets and Her Deathly Pact;Jana Petken (Goodreads Author);4.19;A historical family saga spanning four generations, from 1912, Kent, England, to Spain and its 1936-39 civil war. Celia and Ernesto's two sons march under opposing banners, whilst their daughters take different paths, one to the Catholic Church and the other to the battlefields, and in the shadow of war, an evil ghost from the past watches and waits for an opportunity to destroy the entire family. In exile, Celia and Ernesto can only wait and pray for their children and their safe return home.;English;['Historical Fiction', 'War', 'Adventure', 'Drama', 'Epic', 'Fiction', 'Historical', 'Romance', 'Amazon', 'Spain'];Paperback;714
The Candidate and other stories;Samuel R. George;4.35;Meet Professor Alfred Jules Ayer, a famous philosopher noted for his atheism, his disdain of all things metaphysical, and his reverence for logic, in “The Candidate.” After suffering a heart attack, he finds himself in the Greek Underworld. He never expected an afterlife, and the fabled abode is nothing like the fable, which never mentioned a salmon with human arms and legs, or a flying saucer captained by lizard man.In “Harold,” you’ll meet a homunculus who is certain he is a one of a kind, a freak of nature. Imagine his surprise when he discovers an island populated by thousands of his kind. There he finds adventure, love, and danger. He must face thugs his size, sinister large people, a dangerous house cat, and a plethora of perplexing situations.Irresolute poets find their plush postmortem refuge is anything but when it soon becomes a type of Hell in “Between Life and Oblivion.”Discover the true story of Helen, the famous face that launched a thousand ships, in the tale “A More Likely Odyssey.”Within these pages you’ll be taken on journeys beyond imagining. You’ll meet characters and explore familiar worlds through different eyes. Look beyond the hedge…;English;['Contemporary', 'Book Club', 'Drama', 'Epic', 'Fiction', 'Novels'];Kindle Edition;192
The True Confessions of Charlotte Doyle;Avi;3.83;An ocean voyage of unimaginable consequences... Not every thirteen-year-old girl is accused of murder, brought to trial, and found guilty. But I was just such a girl, and my story is worth relating even if it did happen years ago. Be warned, however: If strong ideas and action offend you, read no more. Find another companion to share your idle hours. For my part I intend to tell the truth as I lived it.;English;['Historical Fiction', 'Young Adult', 'Fiction', 'Historical', 'Adventure', 'Childrens', 'Middle Grade', 'Classics', 'School', 'Read For School'];Mass Market Paperback;278
The Sword of Summer;Rick Riordan (Goodreads Author);4.24;Magnus Chase has seen his share of trouble. Ever since that terrible night two years ago when his mother told him to run, he has lived alone on the streets of Boston, surviving by his wits, staying one step ahead of the police and the truant officers.One day, Magnus learns that someone else is trying to track him down—his uncle Randolph, a man his mother had always warned him about. When Magnus tries to outmaneuver his uncle, he falls right into his clutches. Randolph starts rambling about Norse history and Magnus's birthright: a weapon that has been lost for thousands of years.The more Randolph talks, the more puzzle pieces fall into place. Stories about the gods of Asgard, wolves, and Doomsday bubble up from Magnus's memory. But he doesn't have time to consider it all before a fire giant attacks the city, forcing him to choose between his own safety and the lives of hundreds of innocents. . . .Sometimes, the only way to start a new life is to die.;English;['Fantasy', 'Mythology', 'Young Adult', 'Middle Grade', 'Fiction', 'Adventure', 'Urban Fantasy', 'Magic', 'Childrens', 'Young Adult Fantasy'];Hardcover;499
Buddenbrooks: The Decline of a Family;Thomas Mann, T.J. Reed (Introduction), John E. Woods (Translator);4.16;Buddenbrooks, first published in Germany in 1901, when Mann was only twenty-six, has become a classic of modern literature.It is the story of four generations of a wealthy bourgeois family in northern Germany facing the advent of modernity, in an uncertain new world, the family’s bonds and traditions begin to disintegrate. As Mann charts the Buddenbrooks’ decline from prosperity to bankruptcy, from moral and psychic soundness to sickly piety, artistic decadence, and madness, he ushers the reader into a world of stunning vitality, pieced together from births and funerals, weddings and divorces, recipes, gossip, and earthy humor.In its immensity of scope, richness of detail, and fullness of humanity, buddenbrooks surpasses all other modern family chronicles. With remarkable fidelity to the original German text, this superb translation emphasizes the magnificent scale of Mann’s achievement in this riveting, tragic novel.;English;['Classics', 'Fiction', 'German Literature', 'Germany', 'Literature', 'Historical Fiction', 'Novels', '20th Century', 'Nobel Prize', 'Literary Fiction'];Hardcover;731
The Harry Potter Collection 1-4;J.K. Rowling, Mary GrandPré (Illustrator);4.68;The exciting tales of Harry Potter, the young wizard-in-training, have taken the world by storm, and fans just can't get enough of the magical world of Hogwarts and beyond. If you buy one of the Harry Potter books, we guarantee you'll want the next...and the next...and the next -- so why not have them all, right at your fingertips? With the Harry Potter Hardcover Box Set (Books 1-4), Barnes amp, Noble.com offers simple one-stop shopping for your Harry Potter library! As easy as the wave of a magic wand, you can get all four Harry Potter books delivered to your doorstep at once.pThe Harry Potter Hardcover Box Set (Books 1-4) includes hardcover editions of iHarry Potter and the Sorcerer's Stone, Harry Potter and the Chamber of Secrets, Harry Potter and the Prisoner of Azkaban,/i and iHarry Potter and the Goblet of Fire./i The books come snugly packed in a sturdy cardboard slipcase, beautifully decorated with memorable scenes from the books.pSo buy the set, and not even a pesky Locomotor Mortis spell cast by the evil Lord Voldemor...(oooops, sorry -- He-Who-Must-Not-Be-Named) can get in the way of your enjoying all of the mystery, adventure, intrigue, and, of course, magic that Muggles around the world can't seem to get enough of. Hold on tight -- it's going to be a wild ride!;English;['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Adventure', 'Childrens', 'Classics', 'Novels', 'Science Fiction Fantasy', 'Urban Fantasy'];Hardcover;1500
